popularity,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
0,False,0.548,0.412,F,-10.248,major,0.0333,0.807,0.934,0.127,0.325,79.512,4/4,classical
0,False,0.541,0.321,F,-14.418,major,0.0329,0.714,0.00345,0.101,0.549,133.537,4/4,classical
0,False,0.448,0.00609,G,-38.376,major,0.184,0.994,0.936,0.0749,0.201,76.323,4/4,classical
0,False,0.382,0.0982,A-sharp_B-flat,-20.443,major,0.0501,0.991,0.884,0.0955,0.156,70.881,4/4,classical
0,False,0.365,0.196,D-sharp_E-flat,-14.108,major,0.0349,0.904,0.968,0.0831,0.588,77.88,4/4,classical
0,False,0.365,0.196,D-sharp_E-flat,-14.108,major,0.0349,0.904,0.968,0.0831,0.588,77.88,4/4,classical
0,False,0.461,0.00214,G,-34.268,major,0.0526,0.996,0.945,0.0818,0.234,84.3,3/4,classical
1,False,0.277,0.0113,E,-38.384,minor,0.0285,0.769,0.00268,0.321,0.0725,102.532,4/4,classical
0,False,0.334,0.168,B,-22.454,minor,0.0457,0.99,0.753,0.0349,0.496,132.362,3/4,classical
0,False,0.344,0.18,E,-22.637,major,0.0396,0.993,0.931,0.279,0.527,140.086,4/4,classical
0,False,0.615,0.194,E,-20.573,minor,0.0393,0.973,0.808,0.12,0.589,75.981,4/4,classical
0,False,0.207,0.144,G,-26.105,minor,0.039,0.994,0.866,0.33,0.358,155.492,3/4,classical
0,False,0.433,0.073,D,-29.13,major,0.0493,0.994,0.863,0.0829,0.424,152.601,4/4,classical
0,False,0.232,0.184,G,-20.299,major,0.0452,0.917,0.916,0.126,0.254,89.624,3/4,classical
0,False,0.372,0.252,G,-21.368,major,0.0508,0.995,0.851,0.104,0.194,93.599,3/4,classical
0,False,0.585,0.309,E,-12.274,minor,0.0945,0.992,0.918,0.0558,0.578,134.927,4/4,classical
0,False,0.378,0.379,A-sharp_B-flat,-16.888,minor,0.136,0.961,0.835,0.682,0.347,135.92,3/4,classical
0,False,0.45,0.0485,D,-31.079,major,0.038,0.972,0.911,0.172,0.316,126.978,4/4,classical
0,False,0.506,0.0336,A-sharp_B-flat,-28.894,major,0.042,0.959,0.146,0.0727,0.386,116.049,4/4,classical
0,False,0.277,0.0113,E,-38.384,minor,0.0285,0.769,0.00268,0.321,0.0725,102.532,4/4,classical
0,False,0.204,0.00527,G,-38.286,minor,0.0389,0.938,0.932,0.104,0.0496,94.47,3/4,classical
0,False,0.344,0.196,C,-21.548,major,0.0608,0.888,0.757,0.928,0.214,134.361,4/4,classical
0,False,0.528,0.029,B,-33.589,minor,0.0362,0.966,0.316,0.329,0.239,129.514,4/4,classical
0,False,0.45,0.0485,D,-31.079,major,0.038,0.972,0.911,0.172,0.316,126.978,4/4,classical
0,False,0.45,0.0485,D,-31.079,major,0.038,0.972,0.911,0.172,0.316,126.978,4/4,classical
0,False,0.615,0.194,E,-20.573,minor,0.0393,0.973,0.808,0.12,0.589,75.981,4/4,classical
0,False,0.433,0.073,D,-29.13,major,0.0493,0.994,0.863,0.0829,0.424,152.601,4/4,classical
0,False,0.45,0.0485,D,-31.079,major,0.038,0.972,0.911,0.172,0.316,126.978,4/4,classical
0,False,0.198,0.189,D,-17.582,major,0.0373,0.97,0.871,0.0512,0.235,183.664,3/4,classical
0,False,0.596,0.148,E,-23.21,minor,0.0374,0.965,0.921,0.0983,0.488,74.423,4/4,classical
0,False,0.506,0.0336,A-sharp_B-flat,-28.894,major,0.042,0.959,0.146,0.0727,0.386,116.049,4/4,classical
0,False,0.15,0.0701,D,-21.872,major,0.0456,0.91,0.852,0.077,0.0903,181.584,3/4,classical
43,False,0.273,0.08,C-sharp_D-flat,-13.988,major,0.0422,0.986,0.253,0.0628,0.184,88.252,4/4,classical
41,False,0.682,0.392,B,-11.303,minor,0.0498,0.452,9.85e-05,0.276,0.62,143.791,4/4,classical
0,False,0.105,0.154,C-sharp_D-flat,-14.355,major,0.0334,0.946,0.895,0.0683,0.0756,71.0,4/4,classical
1,False,0.213,0.159,G,-13.897,major,0.0366,0.715,0.914,0.101,0.0373,143.35,4/4,classical
0,False,0.213,0.0656,G,-24.81,major,0.0467,0.992,0.969,0.0699,0.0384,65.023,3/4,classical
0,False,0.797,0.415,F,-14.557,minor,0.0514,0.881,0.0,0.0873,0.965,113.42,3/4,classical
0,False,0.412,0.0313,A-sharp_B-flat,-25.323,major,0.0454,0.991,0.899,0.0735,0.0387,126.359,4/4,classical
0,False,0.414,0.17,C,-13.479,major,0.0317,0.761,0.00728,0.143,0.455,146.763,3/4,classical
0,False,0.297,0.00409,C-sharp_D-flat,-31.314,minor,0.0426,0.995,0.918,0.0896,0.0449,68.863,5/4,classical
0,False,0.377,0.115,A,-17.089,major,0.0529,0.986,0.069,0.0988,0.264,109.99,4/4,classical
0,False,0.288,0.186,D-sharp_E-flat,-19.017,major,0.0628,0.965,0.971,0.126,0.0673,67.37,4/4,classical
0,False,0.414,0.165,D,-14.443,major,0.0405,0.989,0.0464,0.227,0.417,120.216,4/4,classical
0,False,0.401,0.302,G,-10.229,major,0.0344,0.984,1.39e-05,0.334,0.497,127.555,4/4,classical
0,False,0.511,0.256,D,-12.872,major,0.0535,0.978,0.0144,0.0588,0.804,89.321,3/4,classical
0,False,0.167,0.0138,F-sharp_G-flat,-26.922,major,0.0355,0.99,0.887,0.1,0.0483,67.109,4/4,classical
0,False,0.534,0.263,D,-11.757,major,0.0472,0.971,0.247,0.105,0.241,122.477,4/4,classical
0,False,0.419,0.213,A,-23.095,major,0.0357,0.961,0.899,0.237,0.36,97.708,3/4,classical
0,False,0.373,0.0108,A-sharp_B-flat,-33.756,major,0.0326,0.975,0.961,0.0982,0.143,133.496,3/4,classical
1,False,0.103,0.0379,C,-27.05,minor,0.0482,0.985,0.00202,0.102,0.0326,85.961,3/4,classical
0,False,0.428,0.119,E,-24.668,major,0.0374,0.952,0.000416,0.429,0.248,79.497,4/4,classical
0,False,0.345,0.236,D,-21.922,major,0.0401,0.989,0.952,0.228,0.38,135.677,4/4,classical
0,False,0.215,0.184,D,-15.551,minor,0.0485,0.957,0.881,0.124,0.0949,83.917,4/4,classical
0,False,0.376,0.129,F-sharp_G-flat,-23.677,minor,0.0397,0.993,0.899,0.142,0.561,56.596,4/4,classical
0,False,0.375,0.318,C,-23.633,major,0.0576,0.993,0.835,0.149,0.25,89.556,4/4,classical
0,False,0.128,0.0152,F-sharp_G-flat,-30.53,major,0.0374,0.995,0.913,0.0744,0.0803,67.291,4/4,classical
0,False,0.289,0.139,D-sharp_E-flat,-21.256,minor,0.0355,0.991,0.923,0.161,0.226,94.938,4/4,classical
0,False,0.321,0.26,C,-22.783,minor,0.0422,0.977,0.938,0.148,0.275,88.565,4/4,classical
0,False,0.345,0.147,A-sharp_B-flat,-20.149,major,0.0407,0.907,0.799,0.671,0.13,105.862,4/4,classical
0,False,0.303,0.0347,C,-24.555,minor,0.0419,0.994,0.899,0.0789,0.0834,80.939,4/4,classical
0,False,0.318,0.0543,G-sharp_A-flat,-24.681,major,0.0385,0.991,0.932,0.111,0.0388,67.716,3/4,classical
0,False,0.351,0.0394,D,-22.557,major,0.0462,0.994,0.895,0.175,0.0381,134.199,4/4,classical
0,False,0.169,0.0413,D-sharp_E-flat,-27.419,major,0.0474,0.994,0.958,0.12,0.0431,90.832,3/4,classical
0,False,0.258,0.0478,E,-26.069,major,0.0505,0.993,0.902,0.113,0.0859,65.37,3/4,classical
0,False,0.331,0.23,D,-21.548,major,0.0356,0.978,0.88,0.359,0.189,82.51,3/4,classical
0,False,0.132,0.0447,E,-20.733,major,0.0401,0.983,0.925,0.13,0.0388,89.704,4/4,classical
0,False,0.204,0.0281,F,-27.284,major,0.0445,0.985,0.00233,0.114,0.0984,97.274,4/4,classical
0,False,0.0827,0.0134,F,-31.089,major,0.052,0.992,0.961,0.066,0.0606,81.694,5/4,classical
0,False,0.23,0.144,G,-21.34,major,0.0408,0.94,0.869,0.395,0.229,142.163,4/4,classical
0,False,0.398,0.0996,D-sharp_E-flat,-22.223,major,0.0345,0.98,0.933,0.101,0.196,67.256,3/4,classical
0,False,0.471,0.0519,A,-16.87,major,0.0408,0.993,0.976,0.0863,0.336,72.931,4/4,classical
0,False,0.412,0.357,D,-11.694,major,0.0262,0.932,0.368,0.296,0.393,99.305,4/4,classical
0,False,0.406,0.042,B,-19.736,minor,0.0546,0.934,0.691,0.192,0.197,94.292,4/4,classical
