popularity,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,is_popular
52,False,0.28,0.445,D,-9.826,major,0.0319,0.705,0.0,0.797,0.285,137.517,4/4,popular
41,True,0.76,0.767,G,-5.341,minor,0.196,0.186,0.0,0.156,0.652,89.988,4/4,unpopular
63,False,0.387,0.686,E,-5.368,major,0.0363,0.142,0.0,0.122,0.171,142.091,4/4,popular
46,False,0.65,0.632,G-sharp_A-flat,-8.374,major,0.037,0.388,0.00875,0.134,0.352,97.046,4/4,unpopular
7,False,0.879,0.871,C-sharp_D-flat,-7.232,minor,0.0903,0.0191,0.389,0.209,0.96,125.082,4/4,unpopular
8,False,0.807,0.698,A-sharp_B-flat,-12.233,minor,0.0578,0.00181,0.442,0.0819,0.421,126.002,4/4,unpopular
2,False,0.516,0.775,F-sharp_G-flat,-6.409,major,0.0412,0.396,0.00129,0.21,0.858,177.401,4/4,unpopular
60,False,0.349,0.0451,E,-27.358,major,0.043,0.996,0.953,0.0758,0.143,93.299,3/4,popular
46,False,0.625,0.928,B,-5.707,minor,0.0817,0.188,0.0,0.483,0.56,89.896,4/4,unpopular
0,False,0.45,0.181,A-sharp_B-flat,-11.417,major,0.0406,0.896,1.09e-06,0.11,0.196,115.443,4/4,unpopular
20,False,0.618,0.474,G,-11.444,major,0.0285,0.866,0.0066,0.101,0.477,93.43,4/4,unpopular
64,False,0.659,0.712,D,-5.585,minor,0.0352,0.584,0.0,0.201,0.883,143.792,4/4,popular
40,False,0.728,0.59,F,-9.773,major,0.122,0.391,7.55e-06,0.0883,0.374,150.034,4/4,unpopular
0,False,0.721,0.806,F,-6.279,minor,0.0549,0.146,0.000319,0.341,0.753,120.038,4/4,unpopular
66,False,0.583,0.589,D,-6.621,major,0.203,0.0612,0.0,0.108,0.56,192.13,4/4,popular
0,False,0.516,0.818,B,-6.076,major,0.0393,0.00701,0.0,0.337,0.769,121.907,4/4,unpopular
0,False,0.44,0.838,A,-6.196,major,0.0423,0.0956,0.0,0.473,0.619,138.908,4/4,unpopular
0,False,0.414,0.131,E,-12.817,major,0.0347,0.934,7.88e-05,0.11,0.112,143.778,4/4,unpopular
19,False,0.486,0.936,D,-2.976,major,0.0896,0.0415,0.0,0.0942,0.475,94.953,4/4,unpopular
0,False,0.575,0.7,G,-8.444,major,0.0636,0.34,0.0329,0.0998,0.113,110.989,4/4,unpopular
33,False,0.592,0.629,G,-6.344,major,0.0359,0.779,7.6e-06,0.0888,0.62,149.946,4/4,unpopular
74,True,0.661,0.723,F,-6.976,minor,0.0566,0.179,1.23e-05,0.14,0.316,113.778,4/4,popular
45,False,0.539,0.477,E,-6.331,minor,0.0279,0.743,0.0,0.344,0.644,122.502,3/4,unpopular
22,False,0.612,0.589,A,-9.864,major,0.0308,0.477,0.0468,0.124,0.646,117.995,4/4,unpopular
24,False,0.542,0.972,C-sharp_D-flat,-5.53,major,0.0764,1.31e-05,7.62e-05,0.978,0.222,119.946,4/4,unpopular
69,False,0.694,0.828,B,-4.653,minor,0.0336,0.0399,0.0,0.0796,0.407,126.002,4/4,popular
55,False,0.605,0.934,F,-3.642,minor,0.0331,0.00914,0.00288,0.311,0.825,119.998,4/4,popular
35,False,0.48,0.811,D,-7.065,minor,0.0342,0.00622,5.06e-06,0.125,0.427,89.922,4/4,unpopular
28,False,0.679,0.707,D,-11.453,major,0.04,0.00634,0.855,0.18,0.258,120.007,4/4,unpopular
0,False,0.876,0.85,C-sharp_D-flat,-5.75,minor,0.163,0.0118,0.0067,0.111,0.962,122.666,5/4,unpopular
63,False,0.653,0.446,C,-7.867,major,0.0351,0.546,4.52e-05,0.109,0.472,100.018,4/4,popular
64,False,0.615,0.81,C-sharp_D-flat,-6.137,minor,0.0506,0.0358,0.0,0.289,0.728,143.054,4/4,popular
53,False,0.41,0.457,C,-5.622,major,0.0381,0.214,0.0,0.108,0.147,91.927,4/4,popular
19,False,0.46,0.587,G,-9.938,major,0.052,0.000997,0.069,0.13,0.145,173.997,4/4,unpopular
41,False,0.336,0.628,E,-7.878,minor,0.0272,0.245,0.396,0.547,0.312,134.993,4/4,unpopular
0,False,0.25,0.106,A-sharp_B-flat,-12.954,minor,0.0374,0.92,0.0,0.0802,0.313,75.807,4/4,unpopular
78,False,0.721,0.521,D,-8.123,major,0.0613,0.0708,0.00545,0.127,0.942,123.118,4/4,popular
16,False,0.45,0.861,F-sharp_G-flat,-4.469,major,0.0483,6.55e-06,0.532,0.185,0.438,140.318,4/4,unpopular
54,False,0.604,0.842,C,-8.481,major,0.0472,0.149,0.0,0.568,0.504,103.71,4/4,popular
28,False,0.803,0.982,B,-2.567,minor,0.0528,0.000416,0.639,0.0475,0.738,128.006,4/4,unpopular
47,False,0.586,0.729,D,-5.861,major,0.0472,0.000128,0.847,0.101,0.078,95.033,4/4,unpopular
29,False,0.607,0.979,E,-5.587,major,0.134,0.00204,0.0,0.161,0.659,145.0,4/4,unpopular
60,False,0.968,0.257,F,-10.953,major,0.0981,0.325,0.0,0.093,0.954,114.892,4/4,popular
1,False,0.223,0.91,G,-7.097,major,0.08,0.0116,0.000518,0.212,0.364,171.75,4/4,unpopular
0,False,0.478,0.943,A-sharp_B-flat,-2.551,minor,0.0822,0.0127,0.0,0.102,0.184,155.063,4/4,unpopular
56,False,0.494,0.72,G,-5.093,major,0.0568,0.398,0.0,0.341,0.553,152.049,4/4,popular
40,False,0.651,0.467,B,-14.219,minor,0.323,0.631,0.69,0.252,0.0854,74.477,4/4,unpopular
0,False,0.559,0.674,C-sharp_D-flat,-6.125,minor,0.0329,0.0312,0.0,0.121,0.197,111.976,4/4,unpopular
60,False,0.66,0.812,F-sharp_G-flat,-4.193,major,0.0307,0.000264,0.000133,0.566,0.773,124.031,4/4,popular
55,False,0.412,0.0394,D-sharp_E-flat,-26.907,major,0.033,0.992,0.976,0.107,0.19,51.076,3/4,popular
42,False,0.643,0.394,C,-13.073,major,0.0671,0.81,0.909,0.794,0.584,155.944,4/4,unpopular
50,False,0.498,0.384,E,-10.752,major,0.0976,0.818,0.000937,0.13,0.25,79.856,4/4,unpopular
27,False,0.673,0.658,A-sharp_B-flat,-8.864,minor,0.0343,0.176,1.57e-05,0.08,0.863,97.989,4/4,unpopular
74,False,0.553,0.853,G-sharp_A-flat,-3.668,major,0.0339,0.000684,0.0,0.126,0.506,122.023,4/4,popular
60,False,0.507,0.741,F-sharp_G-flat,-7.456,minor,0.0535,0.414,3.95e-06,0.107,0.492,132.903,4/4,popular
82,False,0.541,0.96,C,-2.947,minor,0.0505,0.0663,2.25e-06,0.344,0.812,122.803,4/4,popular
5,False,0.803,0.727,F,-9.13,major,0.0821,0.000578,0.867,0.0747,0.256,127.007,4/4,unpopular
0,False,0.473,0.977,G-sharp_A-flat,-8.651,minor,0.15,0.0243,0.604,0.0931,0.0449,100.552,4/4,unpopular
25,False,0.608,0.907,A,-8.901,major,0.188,0.477,8.19e-06,0.938,0.503,134.049,4/4,unpopular
37,True,0.837,0.65,B,-6.809,minor,0.292,0.329,0.0,0.103,0.643,96.042,4/4,unpopular
0,False,0.618,0.334,D,-8.498,major,0.0338,0.85,0.0,0.103,0.383,139.784,3/4,unpopular
48,False,0.279,0.732,F,-6.236,minor,0.0346,0.0838,0.0,0.904,0.382,175.875,4/4,unpopular
60,False,0.242,0.998,B,-5.64,major,0.0894,8.12e-06,0.88,0.284,0.18,114.642,4/4,popular
0,False,0.446,0.121,E,-12.737,minor,0.0414,0.937,0.0,0.125,0.18,107.573,3/4,unpopular
2,True,0.635,0.701,A-sharp_B-flat,-5.969,major,0.0268,0.253,4.91e-05,0.165,0.633,151.894,4/4,unpopular
37,False,0.71,0.729,F,-5.629,major,0.0556,0.0708,0.0,0.509,0.924,108.037,4/4,unpopular
77,False,0.763,0.803,C-sharp_D-flat,-3.713,major,0.0351,0.0709,0.285,0.348,0.561,103.04,3/4,popular
11,False,0.663,0.702,G,-9.069,major,0.0268,0.0718,0.899,0.256,0.447,99.976,4/4,unpopular
0,False,0.762,0.688,B,-4.764,major,0.0423,0.00139,0.79,0.288,0.811,124.972,4/4,unpopular
43,False,0.713,0.236,C-sharp_D-flat,-13.288,major,0.0373,0.886,0.0,0.091,0.647,139.75,3/4,unpopular
0,True,0.737,0.607,C,-3.599,major,0.0835,0.194,0.11,0.132,0.528,179.957,4/4,unpopular
2,False,0.623,0.668,F-sharp_G-flat,-7.282,minor,0.0531,0.475,0.0,0.0862,0.823,161.948,4/4,unpopular
34,False,0.682,0.81,G-sharp_A-flat,-7.056,major,0.0608,0.151,0.0,0.708,0.881,98.952,4/4,unpopular
45,False,0.713,0.673,G,-5.924,minor,0.0446,0.00844,0.219,0.164,0.66,130.014,4/4,unpopular
46,False,0.668,0.753,A,-8.569,major,0.0421,0.0122,0.00544,0.155,0.495,119.976,4/4,unpopular
0,False,0.449,0.886,G-sharp_A-flat,-2.501,major,0.0624,0.00248,7.48e-05,0.0743,0.61,171.016,4/4,unpopular
40,False,0.703,0.815,E,-7.406,minor,0.0629,0.014,3.93e-06,0.146,0.319,134.051,4/4,unpopular
46,False,0.667,0.329,F,-15.775,minor,0.0298,0.936,0.942,0.104,0.428,128.015,4/4,unpopular
47,False,0.654,0.894,C-sharp_D-flat,-4.248,minor,0.0811,0.518,0.0,0.216,0.88,181.929,4/4,unpopular
33,False,0.768,0.621,A,-8.564,minor,0.04,0.101,0.00594,0.105,0.698,128.028,4/4,unpopular
45,True,0.684,0.694,G-sharp_A-flat,-6.084,minor,0.125,0.282,0.0,0.119,0.146,101.983,4/4,unpopular
26,False,0.404,0.564,F-sharp_G-flat,-12.161,minor,0.0344,0.221,0.922,0.0624,0.302,123.003,4/4,unpopular
45,False,0.683,0.731,C,-4.17,major,0.0262,0.193,0.0,0.262,0.732,97.057,3/4,unpopular
47,False,0.276,0.656,E,-3.627,major,0.0365,0.498,0.0,0.846,0.73,203.389,5/4,unpopular
65,False,0.133,0.0133,F,-33.01,major,0.0422,0.959,0.826,0.105,0.0594,64.156,3/4,popular
0,False,0.369,0.192,E,-12.151,minor,0.04,0.555,8.35e-06,0.0954,0.148,175.212,3/4,unpopular
28,False,0.466,0.421,G,-7.428,major,0.0318,0.00798,1.09e-05,0.0717,0.788,146.791,4/4,unpopular
54,False,0.486,0.875,D,-3.426,major,0.079,0.0196,0.0,0.258,0.593,127.949,4/4,popular
51,False,0.422,0.67,E,-6.137,major,0.0586,0.0709,0.0,0.0944,0.551,170.19,4/4,popular
